timestamp,open,high,low,close,volume
2025-01-01 00:00:00,103.28,105.11,103.26,105.03,26474.862
2025-01-01 01:00:00,105.03,106.04,104.69,104.98,44524.297
2025-01-01 02:00:00,105.01,105.29,104.22,104.93,17422.198
2025-01-01 03:00:00,104.92,104.95,104.22,104.23,7704.724
2025-01-01 04:00:00,104.23,104.43,103.75,104.18,8100.383
2025-01-01 05:00:00,104.18,105.38,104.09,105.28,15736.715
2025-01-01 06:00:00,105.29,105.3,104.69,105.14,7443.969
2025-01-01 07:00:00,105.15,105.15,104.15,104.16,8108.06
2025-01-01 08:00:00,104.17,104.29,102.77,102.78,14567.264
2025-01-01 09:00:00,102.79,103.37,102.03,102.88,24832.86
2025-01-01 10:00:00,102.89,103.36,102.69,102.74,15874.821
2025-01-01 11:00:00,102.73,104.33,102.31,103.74,16190.078
2025-01-01 12:00:00,103.73,104.87,103.58,104.83,13441.122
2025-01-01 13:00:00,104.85,105.3,104.06,104.31,25439.784
2025-01-01 14:00:00,104.31,104.98,103.65,104.75,21474.484
2025-01-01 15:00:00,104.73,105.19,103.63,104.93,19660.289
2025-01-01 16:00:00,104.91,106.12,104.78,105.22,26096.219
2025-01-01 17:00:00,105.24,105.44,104.0,104.85,17278.359
2025-01-01 18:00:00,104.86,106.74,104.06,106.59,27128.741
2025-01-01 19:00:00,106.62,107.22,104.94,107.19,65261.266
2025-01-01 20:00:00,107.2,108.14,105.79,106.03,78998.353
2025-01-01 21:00:00,106.03,106.28,105.2,105.49,16837.715
2025-01-01 22:00:00,105.5,105.54,104.76,105.05,17689.628
2025-01-01 23:00:00,105.03,105.5,104.67,105.24,13786.169
2025-01-02 00:00:00,105.23,108.08,105.05,107.52,56153.964
2025-01-02 01:00:00,107.54,108.06,106.31,106.71,27210.679
2025-01-02 02:00:00,106.72,106.9,105.91,106.09,16976.358
2025-01-02 03:00:00,106.08,106.43,105.62,105.62,15425.475
2025-01-02 04:00:00,105.64,107.13,105.44,106.36,34570.084
2025-01-02 05:00:00,106.37,106.62,105.66,105.83,21931.855
2025-01-02 06:00:00,105.83,106.28,105.44,105.96,18925.157
2025-01-02 07:00:00,105.96,106.17,105.67,106.05,11826.894
2025-01-02 08:00:00,106.05,106.53,105.6,106.29,22321.265
2025-01-02 09:00:00,106.27,107.07,106.14,106.95,28888.664
2025-01-02 10:00:00,106.95,106.96,106.37,106.75,28774.807
2025-01-02 11:00:00,106.75,106.84,105.91,106.38,51082.984
2025-01-02 12:00:00,106.38,106.89,106.12,106.69,23607.091
2025-01-02 13:00:00,106.7,107.91,106.53,107.41,47082.765
2025-01-02 14:00:00,107.41,108.75,106.17,107.24,69111.926
2025-01-02 15:00:00,107.21,107.36,105.83,106.29,35719.947
2025-01-02 16:00:00,106.28,106.91,105.65,106.3,32892.863
2025-01-02 17:00:00,106.28,106.8,104.77,105.31,27385.806
2025-01-02 18:00:00,105.31,105.85,105.08,105.65,17451.835
2025-01-02 19:00:00,105.65,105.96,105.06,105.11,14019.736
2025-01-02 20:00:00,105.13,105.58,104.74,104.97,28765.468
2025-01-02 21:00:00,104.98,105.49,104.61,105.46,9983.374
2025-01-02 22:00:00,105.45,105.61,104.82,105.34,11777.671
2025-01-02 23:00:00,105.33,105.59,105.11,105.14,9000.137
2025-01-03 00:00:00,105.14,106.03,105.14,105.29,16817.047
2025-01-03 01:00:00,105.3,105.96,104.89,105.72,14076.898
2025-01-03 02:00:00,105.73,106.84,105.45,106.41,17362.019
2025-01-03 03:00:00,106.41,106.89,105.66,106.38,34303.669
2025-01-03 04:00:00,106.38,106.38,105.43,105.55,17623.426
2025-01-03 05:00:00,105.56,105.64,104.77,105.12,16675.212
2025-01-03 06:00:00,105.12,105.6,104.85,104.89,12793.812
2025-01-03 07:00:00,104.87,104.91,104.11,104.64,20033.146
2025-01-03 08:00:00,104.63,105.28,104.54,105.18,14075.4
2025-01-03 09:00:00,105.19,106.39,105.16,105.94,24405.212
2025-01-03 10:00:00,105.94,106.32,105.64,106.12,12760.849
2025-01-03 11:00:00,106.12,107.65,106.1,107.55,27142.133
2025-01-03 12:00:00,107.53,108.37,107.3,107.33,36935.297
2025-01-03 13:00:00,107.34,108.28,107.19,107.76,31850.291
2025-01-03 14:00:00,107.76,109.36,107.73,109.01,43757.97
2025-01-03 15:00:00,109.02,109.77,108.75,109.35,31630.571
2025-01-03 16:00:00,109.35,110.76,108.91,110.22,53764.919
2025-01-03 17:00:00,110.26,110.93,109.89,110.2,23662.473
2025-01-03 18:00:00,110.2,111.47,110.17,111.33,22429.914
2025-01-03 19:00:00,111.32,113.69,111.07,113.26,46671.649
2025-01-03 20:00:00,113.27,114.33,112.36,114.09,45869.769
2025-01-03 21:00:00,114.1,114.39,113.16,114.36,27370.577
2025-01-03 22:00:00,114.37,114.83,113.43,113.45,26112.19
2025-01-03 23:00:00,113.44,113.85,112.6,112.71,22683.889
2025-01-04 00:00:00,112.72,112.88,111.48,111.54,22543.085
2025-01-04 01:00:00,111.54,111.63,110.7,111.33,29513.496
2025-01-04 02:00:00,111.34,112.23,111.32,112.15,24280.893
